Date,Day of the week,App,Minutes,Category
August 30,Wednesday,INSTAGRAM,9,Social Media
August 30,Wednesday,TIKTOK,218,Social Media
August 30,Wednesday,SPOTIFY,96,Entertainment
August 30,Wednesday,MESSAGES,10,Social Media
August 30,Wednesday,GOOGLE,29,Education
August 30,Wednesday,PINTEREST,1,Social Media
August 31,Thursday,TIKTOK,198,Social Media
August 31,Thursday,INSTAGRAM,8,Social Media
August 31,Thursday,SPOTIFY,57,Entertainment
August 31,Thursday,MESSAGES,48,Social Media
August 31,Thursday,GOOGLE,5,Education
August 31,Thursday,PINTEREST,0,Social Media
September 1,Friday,INSTAGRAM,37,Social Media
September 1,Friday,TIKTOK,192,Social Media
September 1,Friday,MESSAGES,70,Social Media
September 1,Friday,GOOGLE,25,Education
September 1,Friday,SPOTIFY ,17,Entertainment
September 1,Friday,PINTEREST,1,Social Media
September 2,Saturday,TIKTOK,55,Social Media
September 2,Saturday,INSTAGRAM,77,Social Media
September 2,Saturday,MESSAGES,3,Social Media
September 2,Saturday,SPOTIFY,33,Entertainment
September 2,Saturday,GOOGLE,1,Education
September 2,Saturday,PINTEREST,1,Social Media
September 3,Sunday,INSTAGRAM,84,Social Media
September 3,Sunday,TIKTOK,110,Social Media
September 3,Sunday,PINTEREST,8,Social Media
September 3,Sunday,GOOGLE,10,Education
September 3,Sunday,MESSAGES,17,Social Media
September 3,Sunday,SPOTIFY,61,Entertainment
September 4,Monday,TIKTOK,91,Social Media
September 4,Monday,SPOTIFY,15,Entertainment
September 4,Monday,INSTAGRAM,29,Social Media
September 4,Monday,MESSAGES,14,Social Media
September 4,Monday,GOOGLE,25,Education
September 4,Monday,PINTEREST,0,Social Media
September 5,Tuesday,TIKTOK,56,Social Media
September 5,Tuesday,PINTEREST,8,Social Media
September 5,Tuesday,SPOTIFY,11,Entertainment
September 5,Tuesday,GOOGLE,17,Education
September 5,Tuesday,MESSAGES,50,Social Media
September 5,Tuesday,INSTAGRAM,35,Social Media
September 6,Wednesday,INSTAGRAM,47,Social Media
September 6,Wednesday,TIKTOK,37,Social Media
September 6,Wednesday,MESSAGES,24,Social Media
September 6,Wednesday,GOOGLE,1,Education
September 6,Wednesday,PINTEREST,0,Social Media
September 6,Wednesday,SPOTIFY,58,Entertainment