Date,Day of the week,App (Use all CAPITALS),Minutes,Category
August 30,Wednesday,INSTAGRAM,9m,Social Media
August 30,Wednesday,TIKTOK,3h 38m,Social Media
August 30,Wednesday,SPOTIFY,1h 36m,Entertainment
August 30,Wednesday,MESSAGES,10m ,Social Media
August 30,Wednesday,GOOGLE,29m,Education
August 30,Wednesday,PINTEREST,1m,Social Media
August 31,Thursday,TIKTOK,3h 18m,Social Media
August 31,Thursday,INSTAGRAM,8m,Social Media
August 31,Thursday,SPOTIFY,57m,Entertainment
August 31,Thursday,MESSAGES,48m,Social Media
August 31,Thursday,GOOGLE,5m,Education
August 31,Thursday,PINTEREST,0m,Social Media
September 1,Friday,INSTAGRAM,37m,Social ...
September 1,Friday,TIKTOK,3h 12m,Social Media
September 1,Friday,MESSAGES,1h 10m,Social Media
September 1,Friday,GOOGLE,25m,Education
September 1,Friday,SPOTIFY ,17m,Entertainment
September 1,Friday,PINTEREST,1m,Social Media
September 2,Saturday,TIKTOK,55m ,Social Media
September 2,Saturday,INSTAGRAM,1h 17m,Social Media
September 2,Saturday,MESSAGES,3m,Social Media
September 2,Saturday,SPOTIFY,33m,Entertainment
September 2,Saturday,GOOGLE,1m,Education
September 2,Saturday,PINTEREST,1m,Social Media
September 3,Sunday,INSTAGRAM,1h 24m,Social Media
September 3,Sunday,TIKTOK,1h 50m,Social Media
September 3,Sunday,PINTEREST,8m,Social Media
September 3,Sunday,GOOGLE,10m,Education
September 3,Sunday,MESSAGES,17m,Social Media
September 3,Sunday,SPOTIFY,1h 1m,Entertainment
September 4,Monday,TIKTOK,1h 31m,Social Media
September 4,Monday,SPOTIFY,15m,Entertainment
September 4,Monday,INSTAGRAM,29m,Social Media
September 4,Monday,MESSAGES,14m,Social Media
September 4,Monday,GOOGLE,25m,Education
September 4,Monday,PINTEREST,0m,Social Media
September 5,Tuesday,TIKTOK,56m ,Social Media
September 5,Tuesday,PINTEREST,8m,Social Media
September 5,Tuesday,SPOTIFY,11m,Entertainment
September 5,Tuesday,GOOGLE,17m,Education
September 5,Tuesday,MESSAGES,50m,Social Media
September 5,Tuesday,INSTAGRAM,35m,Social Media
September 6,Wednesday,INSTAGRAM,47m,Social Media
September 6,Wednesday,TIKTOK,37m,Social Media
September 6,Wednesday,MESSAGES,24m,Social Media
September 6,Wednesday,GOOGLE,1m,Education
September 6,Wednesday,PINTEREST,0m,Social Media
September 6,Wednesday,SPOTIFY,58m,Entertainment